ep,start,end,dur,text,chi_prob,in_dataset
ep01,288.54,292.34,3.8,なんせ今までマリー牛とか馬ばっかだったから,0.009,0
ep01,292.34,300.84,8.5,けどパソコンって本当人間そっくりなんだな,0.006,0
ep01,300.84,304.08,3.24,おまけにすっげー可愛かったし,0.032,0
ep01,304.08,308.36,4.28,でもまあ高すぎるよな,0.006,0
ep01,308.36,311.32,2.96,世間様はあれでOKなのか,0.003,0
ep01,311.32,313.62,2.3,つーか都会はみんな金持ちってこと,0.076,0
ep01,313.62,316.3,2.68,金欠浪人生は買うなってこと,0.016,0
ep01,316.3,317.64,1.34,そうなのか,0.021,0
ep01,317.64,319.64,2.0,くそー,0.002,0
ep01,319.64,322.14,2.5,俺だって欲しいよパソコン,0.001,0
ep01,322.14,322.94,0.8,したいよメール,,0
ep01,322.94,327.06,4.12,いやあのそのこれは,0.003,0
ep01,327.06,331.04,3.98,こんな綺麗な人の前でなんてこと,0.016,0
ep01,331.04,333.78,2.74,そうだ,0.008,0
ep01,333.78,336.2,2.42,俺アパート探してたんです,0.008,0
ep01,336.2,338.96,2.76,あのご存知ありませんか,0.045,0
ep01,338.96,341.22,2.26,ガブジョーガサキって変な名前の,0.012,0
ep01,341.22,343.94,2.72,ここがそうです,0.076,0
ep01,343.94,347.6,3.66,ここがガブジョーガサキ,0.001,0
ep01,347.6,349.94,2.34,ああここが,0.04,0
ep01,349.94,357.88,7.94,元須は秀樹さんですよね,0.003,0
ep01,357.88,358.8,0.92,はい,,0
ep01,358.8,362.56,3.76,私管理人の日比谷千歳です,0.04,0
ep01,362.56,365.02,2.46,ここです,0.366,0
ep01,365.02,365.7,0.68,はい,,0
ep01,365.7,370.04,4.34,水道もガスもすぐ使えます,0.005,0
ep01,370.04,372.2,2.16,ブレーカーはこの上です,0.055,0
ep01,372.2,373.86,1.66,狭っ,0.039,0
ep01,373.86,375.2,1.34,つってもしょうがねえよな,0.008,0
ep01,375.2,376.66,1.46,月2万ちょっとじゃ,0.034,0
ep01,376.66,382.98,6.32,送ってこられた荷物お部屋に入れておきましたけどよかったかしら,0.019,0
ep01,382.98,384.22,1.24,はいありがとうございます,0.025,0
ep01,384.22,389.98,5.76,でもすっげー重たかったですよねこんな段ボールいっぱいすいませんでした,0.006,0
ep01,389.98,393.88,3.9,いいえ運んでくださったのはしんぼさんですから,0.005,0
ep01,393.88,395.2,1.32,しんぼさん,0.111,0
ep01,395.2,398.78,3.58,もうそろそろ帰ってらっしゃるんじゃないかしら,0.213,0
ep01,398.78,401.88,3.1,お隣の204号室の方です,0.009,0
ep01,401.88,404.84,2.96,そうですか後で礼言っとかなきゃ,0.01,0
ep01,404.84,407.88,3.04,じゃあ、これからよろしくお願いします,0.023,0
ep01,407.88,409.3,1.42,こちらこそです,0.02,0
ep01,409.3,411.38,2.08,あ、はい、あ、はい,0.011,0
ep01,413.38,416.8,3.42,本当に綺麗な管理人さんだったな,0.023,0
ep01,416.8,419.68,2.88,101号室に住んでるっつってたけど,0.016,0
ep01,419.68,422.14,2.46,あんな人がいるアパートに住めるなんて,0.016,0
ep01,422.14,424.0,1.86,俺、ラッキーかも,0.055,0
ep01,425.14,427.0,1.86,はーい!,0.012,0
ep01,427.0,429.18,2.18,ひょっとして管理人さんか?,0.003,0
ep01,430.84,432.0,1.16,はい!,0.005,0
ep01,432.0,433.5,1.5,ん?,0.009,0
ep01,433.5,444.1,10.6,おめでとう!おひっくしおめでとう!,0.083,0
ep01,444.1,446.6,2.5,なぜだよ!,0.001,0
ep01,446.6,450.1,3.5,マスター、この人怖いです,0.007,0
ep01,450.1,453.1,3.0,悪い悪い、驚かしちゃったか,0.009,0
ep01,453.1,455.1,2.0,あの…,0.035,0
ep01,455.1,458.0,2.9,初めまして、俺、シンボヒロム,0.012,0
ep01,458.0,460.6,2.6,隣の204号室の住人だよ,0.008,0
ep01,460.6,466.1,5.5,ああ、この荷物運んでくれた。そうそう。なあ、しんぼさん、ありがとうございました。,0.017,0
ep01,466.96,470.48,3.52,しんぼでいいよ。敬語はやめようぜ。いくつ?とし。,0.003,0
ep01,471.04,471.86,0.82,あ、18。,,0
ep01,472.22,473.1,0.88,同じじゃん。,,0
ep01,475.36,478.04,2.68,んでもって来週から、関曜日校通うんだろ。,0.011,0
ep01,479.4,480.38,0.98,俺もなんだよ。,,0
ep01,480.66,481.46,0.8,お口組。,,0
ep01,481.88,482.78,0.9,え、え、ほんとか?,,0
ep01,483.22,484.72,1.5,マジマジ。よろしくな。,0.023,0
ep01,487.2,488.3,1.1,で、これなんだ?,0.018,0
ep01,488.3,491.1,2.8,ああ俺のパソコン,0.008,0
ep01,491.1,492.08,0.98,ちっちゃい,,0
ep01,492.08,493.7,1.62,モバイルだからな,0.006,0
ep01,493.7,496.52,2.82,挨拶だ,0.02,0
ep01,496.82,500.8,3.98,スモモですよろしくです,0.009,0
ep01,500.8,502.96,2.16,すげーすげー,0.006,0
ep01,502.96,507.54,4.58,なんだリアクションでかいな,0.006,0
ep01,507.54,509.6,2.06,モバイル持ってないのか,0.084,0
ep01,509.6,512.14,2.54,つーかパソコン自体持ってねえんだよ,0.011,0
ep01,512.14,514.12,1.98,そりゃ今時珍しいな,0.011,0
ep01,514.12,517.46,3.34,それに俺買っても全然わかんねえし,0.017,0
ep01,517.46,519.72,2.26,そんなもんスイッチ入れりゃ動くさ,0.012,0
ep01,519.72,522.38,2.66,あとはOSが勝手に何とかしてくれるよ,0.08,0
ep01,522.38,524.24,1.86,よく知ってるな詳しいんだ,0.017,0
ep01,524.24,525.56,1.32,普通に,0.007,0
ep01,525.56,527.56,2.0,やっぱいいかパソコン,0.002,0
ep01,527.56,531.56,4.0,そりゃスモモで電話もかけられるしメールは取れるし,0.036,0
ep01,531.56,532.14,0.58,くー,,0
ep01,532.14,535.22,3.08,温めますか,0.037,0
ep01,535.22,535.94,0.72,はい,,0
ep01,535.94,537.62,1.68,かしこまりました,0.318,0
ep01,537.62,542.16,4.54,出来上がりましたらお呼びしますのでおかけになってお待ちください,0.292,0
ep01,542.16,543.24,1.08,はい,0.069,0
ep01,543.24,545.58,2.34,ありがとうございました,0.429,0
ep01,547.46,550.98,3.52,けどパソコンってほんとすごいんだな,0.008,0
ep01,550.98,552.86,1.88,レジも売ってたよ,0.014,0
ep01,552.86,555.3,2.44,シンボのはスモモっつったっけ,0.032,0
ep01,555.3,557.82,2.52,あんなちっこいのもあんだな,0.013,0
ep01,557.82,560.44,2.62,電話もかけられるって言ってたし,0.073,0
ep01,560.44,561.72,1.28,いいよな,0.067,0
ep01,561.72,566.74,5.02,でも欲しいけど高えもんな,0.005,0
ep01,566.74,571.26,4.52,それに俺今時パソコンのパの字も知らないし,0.04,0
ep01,571.26,574.52,3.26,だいたい何していいかわかんねえ,0.013,0
ep01,574.52,576.48,1.96,まあエロサイトは見るけど,0.129,0
ep01,576.48,580.52,4.04,いいなパソコン,0.002,0
ep01,580.52,582.22,1.7,せっかく人型してんだから,0.008,0
ep01,582.22,585.4,3.18,めちゃくちゃ可愛いやつ落っこちてねえかな,0.012,0
ep01,585.4,587.94,2.54,なきゃねえか,0.003,0
ep01,600.94,603.0,2.06,人が死んでる,0.02,0
ep01,603.0,605.66,2.66,殺人か殺人なのか殺人なんですか,0.008,0
ep01,605.66,610.92,5.26,なんだ東京引っ越してその日に事件に巻き込まれるのか,0.008,0
ep01,610.92,613.36,2.44,こういう時はどうするんだ,0.028,0
ep01,613.36,616.04,2.68,まずなんだ警察か救急車か,0.004,0
ep01,616.04,619.0,2.96,あの耳,0.003,0
ep01,619.0,623.04,4.04,あれ確か今日駅前の電気屋で見たのと同じ,0.006,0
ep01,623.04,627.14,4.1,なんだよ脅かすなよ,0.001,0
ep01,627.14,630.08,2.94,猟奇殺人かなんかかと思ったじゃねえかよ,0.006,0
ep01,630.08,634.0,3.92,まったく,0.003,0
ep01,634.0,637.42,3.42,はぁ…早いとこ帰って部屋の片付けでもやるかな,0.008,0
ep01,637.42,639.04,1.62,待てよ,0.01,0
ep01,639.04,642.44,3.4,これはパソコン,0.002,0
ep01,642.44,644.42,1.98,でもってここはゴミ捨て場,0.01,0
ep01,644.42,648.76,4.34,ってことはこれ…ゴミなんだよな,0.027,0
ep01,648.76,651.6,2.84,つーことはこれ俺がもらってもいいんだよな,0.014,0
ep01,651.6,652.7,1.1,な、な、な,0.008,0
ep01,652.7,657.18,4.48,つーかやっぱ産業廃棄物っつーの少ない方がいいよな,0.004,0
ep01,657.18,659.54,2.36,ダイオキシンとか出ちゃうわけだし,0.011,0
ep01,659.54,661.64,2.1,CO2もオゾンホールだし,0.014,0
ep01,661.64,662.92,1.28,ん?あれ?,0.029,0
ep01,662.92,664.92,2.0,重いな,0.013,0
ep01,676.92,679.92,3.0,これがパソコンの重みか,0.003,0
ep01,681.92,683.92,2.0,死ぬこと重い,0.009,0
ep01,692.92,699.8,6.88,パソコンってこんなに重いものだったんだ,0.007,0
ep01,699.8,704.04,4.24,そうか立ち上げが重いとか楽ってこのことか,0.018,0
ep01,704.04,706.62,2.58,シンボのはサクサクとか言ってたけど,0.026,0
ep01,706.62,709.0,2.38,やっぱモバイルって軽いんだ,0.019,0
ep01,709.0,721.08,12.08,しかしこうしてみても人間の女の子と変わんねえな,0.015,0
ep01,722.92,724.08,1.16,綺麗だし,0.086,0
ep01,724.08,727.92,3.84,柔らかいし,0.028,0
ep01,727.92,733.72,5.8,つかまだ新品なんじゃねえのこれ,0.078,0
ep01,733.72,735.94,2.22,新機種出て捨てたのかな,0.027,0
ep01,735.94,737.48,1.54,もったいねえよな,0.004,0
ep01,737.48,741.48,4.0,俺がちゃんと使ってやるからな,0.016,0
ep01,741.48,743.42,1.94,さて早速使うぞ,0.001,0
ep01,743.42,744.78,1.36,えっとなんだっけ,0.014,0
ep01,744.78,747.36,2.58,シンボはスイッチを押したら動くって言ってたよな,0.004,0
ep01,747.36,750.48,3.12,スイッチスイッチスイッチスイッチ,0.001,0
ep01,750.48,751.24,0.76,スイッチ,,0
ep01,751.24,752.92,1.68,どこ?,0.014,0
ep01,754.36,755.92,1.56,わからん,0.05,0
ep01,755.92,757.82,1.9,どこなんだスイッチは,0.004,0
ep01,757.82,760.54,2.72,もう押し底なんて残ってないからな,0.005,0
ep01,760.54,764.24,3.7,ここもここもここもここも,0.008,0
ep01,778.08,780.02,1.94,な、なんか余計にエチだな,0.002,0
ep01,780.02,780.9,0.88,おいまだ,,0
ep01,780.9,784.9,4.0,な、もっと、なんか着せるもん、着せるもん,0.001,0
ep01,784.9,786.9,2.0,いやぁ,0.003,0
ep01,786.9,787.9,1.0,違う,0.005,0
ep01,787.9,788.9,1.0,どうした?,0.46,0
ep01,788.9,790.9,2.0,この道具探すのに手間取ってんのか?,0.02,0
ep01,790.9,792.9,2.0,そうじゃなくて,0.0,0
ep01,792.9,793.9,1.0,蹴っちゃおうか?,0.057,0
ep01,793.9,794.9,1.0,いや、大丈夫,0.063,0
ep01,794.9,796.9,2.0,遠慮すんなって,0.003,0
ep01,796.9,797.9,1.0,あれ、鍵置いてんじゃん,0.007,0
ep01,797.9,799.9,2.0,鍵かけんの忘れてた,0.011,0
ep01,799.9,801.9,2.0,とりあえず、この子をどっかり隠して,0.005,0
ep01,801.9,803.9,2.0,ナイス,0.01,0
ep01,803.9,804.9,1.0,はい、いいぞ,0.014,0
ep01,804.9,806.9,2.0,うわ、なんだよ,0.004,0
ep01,806.9,808.9,2.0,部屋めちゃくちゃじゃんか,0.01,0
ep01,808.9,812.96,4.06,そんなに焦んなくても銭湯は12時までやってんだから,0.025,0
ep01,812.96,816.22,3.26,どうした?鼻血出てんぞ,0.051,0
ep01,816.22,817.18,0.96,大丈夫大丈夫,,0
ep01,817.18,819.56,2.38,ちょっと転んだだけだから,0.081,0
ep01,819.56,823.08,3.52,そうか?でもこれじゃシャンプーとか探すの無理だろ,0.011,0
ep01,823.08,824.36,1.28,俺の貸すぜ,0.045,0
ep01,824.36,825.6,1.24,ありがとう,0.074,0
ep01,825.6,826.78,1.18,タオルは?,0.02,0
ep01,827.04,827.96,0.92,タオルはあった,,0
ep01,827.96,831.38,3.42,いやあったんだけど今使用中で,0.006,0
ep01,831.38,832.76,1.38,なんだそれ,0.006,0
ep01,832.76,835.52,2.76,気にしない気にしないこっちの話,0.043,0
ep01,835.52,837.66,2.14,まあいいや,0.012,0
ep01,837.66,839.3,1.64,俺は部屋にいるから,0.018,0
ep01,839.3,841.08,1.78,用意できたら声かけてくれよ,0.036,0
ep01,841.08,843.08,2.0,おうわかったすぐ行くよ,0.007,0
ep01,843.08,843.9,0.82,じゃ,,0
ep01,843.9,852.66,8.76,あのさ,0.02,0
ep01,852.66,853.9,1.24,なに,0.028,0
ep01,853.9,855.62,1.72,何してんの,0.003,0
ep01,855.62,857.84,2.22,いやまたあの転んじゃって,0.011,0
ep01,857.84,859.4,1.56,大丈夫かよ,0.003,0
ep01,859.4,861.2,1.8,なのよ,0.046,0
ep01,861.2,862.08,0.88,うん,,0
ep01,862.08,864.7,2.62,着替えとかなかったら最悪貸すけど,0.001,0
ep01,864.7,865.7,1.0,チィー?,0.004,0
ep01,865.7,866.7,1.0,だ、大丈夫大丈夫!,0.067,0
ep01,866.7,867.7,1.0,持ってきてるから!,0.02,0
ep01,867.7,869.7,2.0,すぐ行くから部屋で待っててくれ!,0.029,0
ep01,869.7,870.7,1.0,な、な!,0.003,0
ep01,871.7,872.7,1.0,わかった。,0.004,0
ep01,880.7,882.7,2.0,言い忘れたんだけど!,0.004,0
ep01,882.7,883.7,1.0,なに!?,0.049,0
ep01,883.7,885.7,2.0,お、お、ほどかすなよ!,0.003,0
ep01,885.7,887.7,2.0,わりわり、で…,0.015,0
ep01,887.7,888.7,1.0,おう…,0.065,0
ep01,888.7,890.7,2.0,お、風呂台400円だから、,0.002,0
ep01,890.7,892.7,2.0,サウナとか入んだったら、,0.003,0
ep01,892.7,895.7,3.0,プラス300円…そっか、わかった。ありがとう。,0.014,0
ep01,908.7,909.7,1.0,はぁ、疲れた。,0.214,0
ep01,916.7,918.7,2.0,ここでじっとしてて、な!,0.034,0
ep01,922.7,925.02,2.32,あのな、辛抱。いい加減に。,0.016,0
ep01,925.02,927.46,2.44,えぇっ!か、か、官人にさ…,0.003,0
ep01,928.02,930.26,2.24,あ、な、なんですか?,0.003,0
ep01,930.26,934.38,4.12,これ、きんぴらなんですけど、お嫌いじゃなかったら…,0.138,0
ep01,934.38,936.26,1.88,え、俺にすか?,0.003,0
ep01,936.26,937.14,0.88,はい。,,0
ep01,937.14,939.82,2.68,なぁ、ありがとうございます!,0.017,0
ep01,939.82,943.38,3.56,ちょっと作りすぎちゃって、ご迷惑でなければ…,0.051,0
ep01,943.38,947.5,4.12,ご迷惑だなんて!とんでもないっす!全然オッケーっす!,0.002,0
ep01,947.5,952.66,5.16,よかった。今度また何かおいしくできたら持ってきますね。,0.048,0
ep01,952.66,953.66,1.0,マジっすか?,0.014,0
ep01,953.8,955.96,2.16,え?こんなものでよければ…,0.051,0
ep01,955.98,958.8,2.82,くぅ!すっげー嬉しいです!,0.03,0
ep01,959.08,960.28,1.2,ありがとうございます!,0.006,0
ep01,962.44,963.18,0.74,助かります!,,0
ep01,964.14,964.86,0.72,感動です!,,0
ep01,965.9,966.94,1.04,最高です!,0.016,0
ep01,967.5,968.1,0.6,マー!,,0
ep01,969.3,970.42,1.12,マー!,0.042,0
ep01,970.92,971.44,0.52,チン!,,0
ep01,971.84,972.84,1.0,あらあら…,0.439,0
ep01,972.84,974.08,1.24,いや、違うんです!,0.037,0
ep01,974.08,975.48,1.4,あれ、パソコンなんです!,0.003,0
ep01,976.02,976.76,0.74,マー!,,0
ep01,976.88,978.86,1.98,かわいいパソコンさんですわね!,0.027,0
ep01,978.86,981.04,2.18,いや、パソコンだから、その…,0.016,0
ep01,981.04,986.42,5.38,じゃあ元スワさんパソコンさんおやすみなさい,0.05,0
ep01,986.42,993.14,6.72,か、管理人さん,0.041,0
ep01,993.14,996.58,3.44,絶対変態だと思われた,0.017,0
ep01,996.58,1000.96,4.38,パソコンを裸にして喜んでると思われた,0.031,0
ep01,1000.96,1003.6,2.64,う、うまい,0.005,0
ep01,1003.6,1006.54,2.94,え、風呂屋行かない?どうして?,0.011,0
ep01,1006.96,1007.52,0.56,悪い,,0
ep01,1007.52,1010.52,3.0,やっぱ今日中に部屋の中片付けたくてさ,0.005,0
ep01,1010.52,1013.58,3.06,そっか…まあ…しょうがねえな,0.005,0
ep01,1013.58,1014.78,1.2,ほんと悪い!,0.009,0
ep01,1014.78,1017.66,2.88,いいよ!そんな気にすんなよ,0.002,0
ep01,1021.68,1022.58,0.9,はぁ…,,0
ep01,1023.58,1024.32,0.74,きぃ!,,0
ep01,1024.32,1025.42,1.1,ベンディナイス!,0.122,0
ep01,1028.08,1028.58,0.5,ちぃ!,,0
ep01,1028.58,1029.96,1.38,なに焦ってんだ俺!,0.013,0
ep01,1029.96,1031.22,1.26,相手はパソコンなんだ!,0.036,0
ep01,1031.22,1035.6,4.38,落ち着け!落ち着け!落ち着け!落ち着け!落ち着け!落ち着け!落ち着け!落ち着け!,0.012,0
ep01,1035.6,1036.22,0.62,ちぃ!,,0
ep01,1038.18,1038.98,0.8,なあ…,,0
ep01,1039.5,1040.1,0.6,ちぃ!,,0
ep01,1040.52,1042.52,2.0,チーしか言えないのか?,0.098,0
ep01,1042.52,1043.52,1.0,チー,0.955,1
ep01,1043.52,1046.52,3.0,やっぱゴミ捨て場にあったパソコンだからかな,0.045,0
ep01,1046.52,1048.52,2.0,うーん,0.038,0
ep01,1048.52,1050.52,2.0,どっか壊れてるんじゃないよな,0.009,0
ep01,1054.52,1056.52,2.0,あっ,0.021,0
ep01,1056.52,1058.52,2.0,あっ,0.042,0
ep01,1058.52,1071.42,12.9,中尾すんなよ,,0
ep01,1071.42,1075.2,3.78,また捨てられるって思ってんのか,0.069,0
ep01,1075.2,1081.02,5.82,せっかく拾ったんだ,0.003,0
ep01,1081.02,1082.42,1.4,ちゃんと使うって,0.043,0
ep01,1088.52,1093.5,4.98,でも本当に可愛いな,0.011,0
ep01,1093.5,1096.46,2.96,スメスメだしあったかいし,0.034,0
ep01,1096.46,1100.16,3.7,この耳がなきゃ普通の女の子だよな,0.035,0
ep01,1199.16,1202.1,2.94,こんな可愛いパソコン拾うなんて,0.004,0
ep01,1202.1,1203.76,1.66,俺って超ラッキー,0.024,0
ep01,1203.76,1204.88,1.12,チーチー,0.501,1
ep01,1204.88,1207.34,2.46,でもチーしか言わねえんだよな,0.017,0
ep01,1207.34,1208.7,1.36,どっか壊れてんだ,0.002,0
ep01,1208.7,1209.54,0.84,Don't worry,,0
ep01,1209.54,1213.08,3.54,シンボに紹介してもらったパソコンに詳しいってやつのとこに行けば,0.044,0
ep01,1213.08,1214.6,1.52,何かわかるかも,0.103,0
ep01,1214.6,1215.38,0.78,チー,,0
ep01,1215.38,1217.1,1.72,チョビッツ,0.005,0
ep01,1217.1,1219.32,2.22,次回チー出かける,0.046,0
ep01,1219.32,1222.14,2.82,え?ネット上の都市伝説って?,0.012,0
ep01,1229.16,1231.16,2.0,パパ,0.256,0
ep02,99.4,101.4,2.0,me,,0
ep02,104.4,106.4,2.0,ん,,0
ep02,106.4,108.4,2.0,ん,,0
ep02,108.4,110.4,2.0,ん,0.023,0
ep02,110.4,112.4,2.0,ん,,0
ep02,112.4,114.4,2.0,ん,0.009,0
ep02,114.4,116.4,2.0,ん,,0
ep02,116.4,118.4,2.0,眩しいな,0.014,0
ep02,118.4,120.4,2.0,やっぱ,0.079,0
ep02,120.4,122.4,2.0,社交カーテン欲しいな,0.006,0
ep02,122.4,124.4,2.0,ああ,0.002,0
ep02,124.4,126.4,2.0,その前に片付けか,0.027,0
ep02,126.4,128.4,2.0,ああ,,0
ep02,128.4,130.4,2.0,ああ,,0
ep02,130.4,132.4,2.0,ああ,0.826,0
ep02,132.4,135.4,3.0,ああああああ,0.02,0
ep02,140.72,145.4,4.68,そそうだ 俺パソコン拾ったんだ,0.003,0
ep02,145.4,147.76,2.36,ゆうべ,0.019,0
ep02,162.4,164.4,2.0,パパパパパパチン,0.112,0
ep02,164.4,166.4,2.0,パパパパパパパパチン,0.106,0
ep02,166.4,167.4,1.0,チーン,0.899,1
ep02,167.4,168.4,1.0,か、かわいい,0.082,1
ep02,168.4,169.4,1.0,こんなかわいくて,0.035,0
ep02,169.4,170.4,1.0,こんなかわいくて,0.03,0
ep02,170.4,171.4,1.0,それでいろいろしてくれて,0.022,0
ep02,171.4,173.4,2.0,もう幸せの絶頂じゃないか,0.025,0
ep02,173.4,175.4,2.0,ゲーム,0.002,0
ep02,175.4,177.4,2.0,インターネットでショッピング,0.009,0
ep02,177.4,179.4,2.0,出会い系サイト,0.068,0
ep02,179.4,181.4,2.0,よし,0.014,0
ep02,181.4,182.4,1.0,いろいろするために,0.003,0
ep02,182.4,183.4,1.0,頑張るぞ,0.009,0
ep02,183.4,184.4,1.0,ん?,0.01,0
ep02,184.4,186.4,2.0,パパパパパパパ,0.014,0
ep02,186.4,189.4,3.0,お、おい,0.008,0
ep02,189.4,190.4,1.0,おい,0.02,0
ep02,193.4,195.4,2.0,朝から何に問いをしてんだ俺,0.004,0
ep02,195.4,196.4,1.0,モトスワ,0.014,0
ep02,198.4,200.4,2.0,お邪魔しまーす,0.21,0
ep02,201.4,203.4,2.0,いや、あの、こ、これは,0.008,0
ep02,203.4,205.4,2.0,いやー、モトスワくん,0.011,0
ep02,205.4,208.4,3.0,引っ越してきて早々女の子を部屋に連れ込むとは,0.011,0
ep02,208.4,210.4,2.0,なかなかやるじゃないか,0.182,0
ep02,210.4,213.4,3.0,なかなかやるじゃないか、なかなかやるじゃないか,0.011,0
ep02,213.4,215.4,2.0,ち、ちがうっつーの,0.004,0
ep02,215.4,217.4,2.0,ん?何がちがうっつーの?,0.039,0
ep02,217.4,220.62,3.22,だからよく見てみろよ あの子はパソコン,0.003,0
ep02,223.22,224.66,1.44,あれ 本当だ,0.156,0
ep02,224.66,227.16,2.5,な どっからどう見てもパソコンだろ,0.017,0
ep02,227.16,228.76,1.6,へー,0.015,0
ep02,228.76,232.64,3.88,しっかしまたえらいかわいいパソコンだな,0.036,0
ep02,232.64,235.62,2.98,昨日隠してたのはこの子か,0.007,0
ep02,236.62,240.34,3.72,風呂誘った時 何か隠してるなと思ったんだけど,0.012,0
ep02,240.34,242.82,2.48,あ えっ まあ,0.003,0
ep02,242.82,244.5,1.68,別に隠さんでもいいのに,0.016,0
ep02,244.5,246.78,2.28,確かに そうなんだよな,0.04,0
ep02,246.78,249.78,3.0,あれ?でもパソコン持ってないって言ってなかったっけ?,0.004,0
ep02,249.78,251.78,2.0,ああ、それは…,0.03,0
ep02,252.78,256.78,4.0,へえ、こんなパソコンただで拾うなんて,0.028,0
ep02,256.78,258.78,2.0,ラッキーとしか言いようがねえよな,0.003,0
ep02,258.78,259.78,1.0,そっか?,0.127,0
ep02,259.78,262.78,3.0,ああ、それにすんげえ可愛いし,0.01,0
ep02,262.78,264.78,2.0,まあ、それはラッキーだと思うけどさ,0.03,0
ep02,264.78,266.78,2.0,パソコンって何ができるんだ?,0.028,0
ep02,266.78,269.78,3.0,ていうか、お前は何がしたいの?,0.05,0
ep02,269.78,270.78,1.0,え?,0.054,0
ep02,270.78,272.78,2.0,えっと、その、インターネットとかさ,0.011,0
ep02,272.78,274.78,2.0,いろいろやってみようかなって,0.005,0
ep02,274.78,278.28,3.5,ネットやるにはね ここんところの接続に,0.006,0
ep02,278.28,279.78,1.5,チー,0.326,0
ep02,279.78,281.78,2.0,チーしか言わないんだよ,0.074,0
ep02,281.78,282.78,1.0,うん,0.009,0
ep02,282.78,284.78,2.0,壊れてんじゃないかなと思って,0.019,0
ep02,284.78,287.78,3.0,俺 パソコンのこと全然知らないだろ,0.005,0
ep02,287.78,289.78,2.0,そこのディスプレイ借りるぞ,0.004,0
ep02,289.78,291.78,2.0,ディスプレイ?,0.004,0
ep02,291.78,292.78,1.0,モニターだよ,0.006,0
ep02,292.78,294.78,2.0,ああ テレビのことか,0.021,0
ep02,297.78,299.78,2.0,ディスプレイの方に,0.002,0
ep02,299.78,302.78,3.0,RGBのアナログは付いてるから大丈夫か,0.028,0
ep02,302.78,310.64,7.86,大丈夫か こうするとディスプレイにディフォルトのスペックや os のバージョン cpu の速度とか表示されるんだよ,0.023,0
ep02,310.64,314.16,3.52,そうだったのか 全然知らなかった,0.006,0
ep02,314.16,318.54,4.38,てがシンボのやつに行ってんの,0.075,0
ep02,319.36,327.98,8.62,おおっでたのでたって脳データとなった場合はデータが失われてるかインストール前って ことなんだ,0.005,0
ep02,327.98,331.1,3.12,なるほど さっぱりわからん,0.004,0
ep02,331.1,331.94,0.84,わからん,,0
