file,ep,start,end,prob,source,text
ep05_00238.25s,ep05,238.25,240.96,,human,キレキおかえり
ep05_00242.88s,ep05,242.88,244.55,,human,ちーちー
ep05_00259.60s,ep05,259.6,262.04,,human,勉強
ep05_00275.12s,ep05,275.12,277.68,,human,勉強大変。
ep05_00328.04s,ep05,328.04,330.2,,human,ちーん
ep05_00418.90s,ep05,418.9,421.0,,human,チー!チー!
ep05_00423.90s,ep05,423.9,424.9,,human,ちー
ep05_00426.90s,ep05,426.9,427.9,,human,チーン
ep05_00510.78s,ep05,510.78,512.9,,human,チー
ep05_00517.24s,ep05,517.24,518.99,,human,キキrals
ep05_00559.90s,ep05,559.9,561.9,,human,ふぅ
ep05_00594.74s,ep05,594.74,596.98,,human,プレゼント?
ep05_00599.34s,ep05,599.34,600.49,,human,チーニー
ep05_00612.50s,ep05,612.5,614.5,,human,ありがとう
ep05_00748.60s,ep05,748.6,750.64,,human,チーン
ep05_00754.36s,ep05,754.36,757.28,,human,チー
ep05_00977.62s,ep05,977.62,981.65,,human,おー
ep05_01128.98s,ep05,1128.98,1131.46,,human,パイッチョン
ep05_01132.36s,ep05,1132.36,1135.51,,human,ひでき、バイト
ep05_01139.32s,ep05,1139.32,1140.32,,human,ちっ
ep05_01186.20s,ep05,1186.2,1187.69,,human,ひでき、バイト!
ep05_01210.82s,ep05,1210.82,1212.88,,human,イデキ、ファイト!
ep05_01260.92s,ep05,1260.92,1262.98,,human,ち
ep05_01269.66s,ep05,1269.66,1272.66,,human,G
ep05_01289.50s,ep05,1289.5,1291.47,,human,ちー楽しみ
ep05_01447.92s,ep05,1447.92,1450.74,,human,シーン、秀樹の頭心配
ep06_00150.00s,ep06,150.0,155.21,,human,おはよう 秀樹
ep06_00159.16s,ep06,159.16,162.39,,human,他にもいっぱい覚えた
ep06_00162.28s,ep06,162.28,165.62,,human,ひできが教えてくれた
ep06_00165.36s,ep06,165.36,166.87,,human,点灯
ep06_00179.98s,ep06,179.98,181.92,,human,おかず違う?
ep06_00197.86s,ep06,197.86,201.18,,human,ちぃ、具合まだ覚えていない
ep06_00263.38s,ep06,263.38,266.54,,human,いってらっしゃい
ep06_00281.26s,ep06,281.26,284.06,,human,チーン
ep06_00841.32s,ep06,841.32,845.12,,human,お財布
ep06_00845.12s,ep06,845.12,848.32,,human,カバン
ep06_00859.72s,ep06,859.72,860.8,,human,チィ是什麼目少し
ep06_00863.08s,ep06,863.08,865.11,,human,鼻液が…
ep06_00865.00s,ep06,865.0,867.2,,human,教えてくれた
ep06_00908.96s,ep06,908.96,910.96,,human,チー
ep06_00928.96s,ep06,928.96,931.01,,human,ちーよもいー
ep06_01024.78s,ep06,1024.78,1027.54,,human,ちーつらくない?
ep06_01177.78s,ep06,1177.78,1179.13,,human,ひでき
ep06_01185.64s,ep06,1185.64,1186.96,,human,ひでき
ep06_01194.42s,ep06,1194.42,1197.42,,human,暖かい
ep06_01197.42s,ep06,1197.42,1201.95,,human,居歴温かい
ep06_01201.82s,ep06,1201.82,1205.32,,human,すごく温かい
ep06_01205.32s,ep06,1205.32,1207.95,,human,ちい、うらしい
ep06_01447.90s,ep06,1447.9,1450.65,,human,秀樹、誰と話してるの?
ep07_00191.42s,ep07,191.42,194.59,,human,ひでき、うううういってぐるぐるしてた。
ep07_00194.44s,ep07,194.44,195.78,,human,大丈夫
ep07_00210.40s,ep07,210.4,213.75,,human,ひでき怖かった
ep07_00219.90s,ep07,219.9,222.23,,human,1位 夢わからない
ep07_00283.70s,ep07,283.7,285.1,,human,バイト?
ep07_00303.40s,ep07,303.4,305.22,,human,ちいバイトする
ep07_00327.78s,ep07,327.78,331.02,,human,じゃあチンバイトしてもいいの?
ep07_00334.90s,ep07,334.9,337.1,,human,ち、いいバイトする
ep07_00358.74s,ep07,358.74,360.53,,human,ひできうれしい
ep07_00534.34s,ep07,534.34,536.52,,human,いいバイトない
ep07_00548.70s,ep07,548.7,551.4,,human,バイト探してる
ep07_00776.42s,ep07,776.42,779.24,,human,G作ったの誰か知らない
ep07_00783.96s,ep07,783.96,788.16,,human,秀樹は地位を拾ってくれた
ep07_00788.02s,ep07,788.02,789.89,,human,でも作ってない
ep07_00797.36s,ep07,797.36,798.92,,human,ついてる?
ep07_00800.18s,ep07,800.18,802.12,,human,幸せ
ep07_00802.02s,ep07,802.02,807.12,,human,それ秀樹にとっていいこと?
ep07_01053.40s,ep07,1053.4,1055.5,,human,チー、何をやる?
ep07_01165.44s,ep07,1165.44,1167.26,,human,ダメ
ep07_01307.28s,ep07,1307.28,1308.4,,human,チー
ep08_00418.82s,ep08,418.82,419.84,,human,ひでき
ep08_00689.42s,ep08,689.42,691.72,,human,バイト
ep08_00694.64s,ep08,694.64,697.98,,human,ちー、昨日はバイトに行ってた
ep08_00703.88s,ep08,703.88,706.49,,human,ひでき、ダメだって言った
ep08_00706.36s,ep08,706.36,709.52,,human,だからチー、やばいばいとはしなかった
ep08_00721.54s,ep08,721.54,725.55,,human,チンがバイトしたらひできうれしいって言った
ep08_00744.00s,ep08,744.0,745.7,,human,チー、いけない?
ep08_00752.34s,ep08,752.34,754.32,,human,本当に?
ep08_00763.88s,ep08,763.88,765.54,,human,チー
ep08_00768.16s,ep08,768.16,770.58,,human,だって秀樹はチーノ
ep08_00777.98s,ep08,777.98,780.52,,human,して秀樹嬉しいって言ってた
ep08_00789.74s,ep08,789.74,794.27,,human,うんありがとう秀樹
ep08_00794.16s,ep08,794.16,796.01,,human,きっちブラシ
ep08_00916.22s,ep08,916.22,921.47,,human,お菓子をお買い上げいただいた方にプレゼントを差し上げています
ep08_00921.44s,ep08,921.44,927.14,,human,ただいまチロル開店5周年の記念フェアを開催中です
ep08_00975.82s,ep08,975.82,978.26,,human,あたり?
ep08_00982.22s,ep08,982.22,986.21,,human,チン、バイト初めてだからよくわからない
ep08_00986.00s,ep08,986.0,989.13,,human,チー、やること間違ってなかった?
ep08_01004.82s,ep08,1004.82,1007.79,,human,これお金?
ep08_01014.56s,ep08,1014.56,1017.8,,human,この中に入ってるので何か買える?
ep08_01020.94s,ep08,1020.94,1024.76,,human,ひできの欲しいものこの中に入ってるので買える
ep08_01024.50s,ep08,1024.5,1028.3,,human,ちぃ、わからないこといっぱい
ep08_01030.18s,ep08,1030.18,1034.24,,human,上田博康店長いろいろ教えてください
ep08_01040.70s,ep08,1040.7,1044.88,,human,店長この人は店長って呼ぶ
ep08_01058.36s,ep08,1058.36,1059.82,,human,ち、いっこ
ep08_01063.80s,ep08,1063.8,1066.13,,human,ちいい子
ep08_01066.04s,ep08,1066.04,1068.42,,human,ひできが言ってた
ep08_01086.58s,ep08,1086.58,1088.95,,human,他にバイトいないの?
ep08_01098.82s,ep08,1098.82,1100.96,,human,本当になんでもない
ep08_01107.30s,ep08,1107.3,1111.75,,human,このフェアが終わってからもチロルでバイトしてくれます
ep08_01116.56s,ep08,1116.56,1120.33,,human,良いかどうか秀樹に聞いてくる
ep08_01133.56s,ep08,1133.56,1135.78,,human,何がダメ?バイト?
ep08_01138.82s,ep08,1138.82,1141.65,,human,抱きつくのダメなの?
ep08_01144.22s,ep08,1144.22,1145.77,,human,ちぃ、わからない
ep08_01154.58s,ep08,1154.58,1157.19,,human,チーノ
ep08_01214.40s,ep08,1214.4,1218.22,,human,ひできちんもっとバイトしていい
ep08_01239.24s,ep08,1239.24,1242.61,,human,それで秀樹の好きなもの買える?
ep08_01265.30s,ep08,1265.3,1267.59,,human,お金いらなかった
ep08_01270.34s,ep08,1270.34,1272.36,,human,けど
ep08_01277.60s,ep08,1277.6,1279.48,,human,ちぃー
ep08_01294.00s,ep08,1294.0,1296.02,,human,ひでっ
ep08_01298.42s,ep08,1298.42,1299.79,,human,抱きついていい?
ep09_00104.00s,ep09,104.0,111.81,,human,チロルでもらったバイト代
ep09_00111.60s,ep09,111.6,117.44,,human,ひできこれでチーの好きなもの買っていいって言った
ep09_00117.34s,ep09,117.34,122.72,,human,でもやっぱり一位秀樹に何かあげたい
ep09_00140.10s,ep09,140.1,142.57,,human,いっぱいの参考書
ep09_00142.50s,ep09,142.5,145.55,,human,いっぱいのおかず
ep09_00147.10s,ep09,147.1,148.53,,human,これ持ってる
ep09_00148.32s,ep09,148.32,149.92,,human,それ持ってる
ep09_00151.10s,ep09,151.1,155.62,,human,ひできこれ持ってない
ep09_00159.80s,ep09,159.8,162.97,,human,これ、秀樹にあげる
ep09_00379.66s,ep09,379.66,381.95,,human,ひできおかえり
ep09_00391.46s,ep09,391.46,394.72,,human,チー、秀樹に買ってきた
ep09_00416.84s,ep09,416.84,418.61,,human,チーも嬉しい顔になる
ep09_00418.54s,ep09,418.54,420.94,,human,こんな顔になる
ep09_00428.58s,ep09,428.58,431.45,,human,幸せ
ep09_00445.68s,ep09,445.68,446.87,,human,いいこと
ep09_00464.62s,ep09,464.62,467.28,,human,ティー
ep09_00499.60s,ep09,499.6,505.54,,human,とっひできおかずうれしくない
ep09_00552.82s,ep09,552.82,554.06,,human,ちん
ep09_00650.28s,ep09,650.28,654.24,,human,秀樹昨日行ってたお風呂屋さんって今日行く?
ep09_00659.22s,ep09,659.22,660.36,,human,わかった
ep09_00985.22s,ep09,985.22,986.5,,human,ひでき
ep09_00987.78s,ep09,987.78,989.69,,human,バイト終わった
ep09_00991.06s,ep09,991.06,994.04,,human,これからお風呂
ep09_00994.04s,ep09,994.04,996.92,,human,一緒にお風呂屋さん行く?
ep09_01038.42s,ep09,1038.42,1039.96,,human,ゆぶね
ep09_01047.42s,ep09,1047.42,1048.83,,human,血してる
ep09_01052.62s,ep09,1052.62,1054.34,,human,じまえにみた
ep09_01115.04s,ep09,1115.04,1118.32,,human,ちいまねしたまわりをよくみて
ep09_01118.80s,ep09,1118.8,1122.6,,human,周りを見て秀樹の真似した
ep09_01122.32s,ep09,1122.32,1125.33,,human,秀樹の真似して後ついてった
ep09_01176.80s,ep09,1176.8,1178.36,,human,これ、居歴のおかず。
ep09_01217.58s,ep09,1217.58,1220.36,,human,え?ひでき、笑顔を!
ep09_01310.74s,ep09,1310.74,1313.36,,human,それ、ちぃが買った
ep09_01313.36s,ep09,1313.36,1316.15,,human,秀樹の本と一緒に
ep09_01327.12s,ep09,1327.12,1328.52,,human,ちー
ep09_01458.64s,ep09,1458.64,1459.72,,human,ちー
ep10_00185.34s,ep10,185.34,187.63,,human,人はみんなあれと一緒
ep10_00222.22s,ep10,222.22,226.06,,human,代わりにはなれても人にはなれない
ep10_00226.00s,ep10,226.0,230.39,,human,それは私がよく知っている
ep10_00237.80s,ep10,237.8,239.78,,human,おかえりなさい
ep10_00398.88s,ep10,398.88,401.89,,human,ひでき
ep10_00407.84s,ep10,407.84,410.07,,human,予備校で嬉しいことある?
ep10_00441.80s,ep10,441.8,446.44,,human,ひできその女の子好きなの
ep10_00454.66s,ep10,454.66,463.18,,human,いってらっしゃい
ep10_00723.10s,ep10,723.1,728.0,,human,私ともう一人の私で
ep10_00755.40s,ep10,755.4,759.55,,human,Cを呼んでいる
ep10_00791.30s,ep10,791.3,793.3,,human,チキ
ep10_00809.30s,ep10,809.3,815.39,,human,G わからない
ep10_00823.90s,ep10,823.9,826.92,,human,秀樹は地位を拾ってくれた
ep10_00829.96s,ep10,829.96,832.54,,human,チーはチーの名前
ep10_00832.44s,ep10,832.44,834.52,,human,ひできがつけてくれた
ep10_00850.00s,ep10,850.0,855.6,,human,ちー 目が覚めて悲劇が教えてくれたことしか知らない
ep10_01451.50s,ep10,1451.5,1456.93,,human,ちょびっつ 次回 地位 確かめる
ep11_00294.68s,ep11,294.68,296.76,,human,ひできあそこ
ep11_00378.06s,ep11,378.06,379.08,,human,チーム
ep11_00381.64s,ep11,381.64,383.29,,human,ひでき
ep11_00385.16s,ep11,385.16,386.61,,human,ひでき
ep11_00389.52s,ep11,389.52,390.52,,human,はい
ep11_00409.68s,ep11,409.68,411.59,,human,音しなくなって
ep11_00420.68s,ep11,420.68,421.76,,human,何か
ep11_00448.18s,ep11,448.18,450.35,,human,ひできどうしたの
ep11_00450.18s,ep11,450.18,452.27,,human,具合悪い?
ep11_00658.55s,ep11,658.55,662.34,,human,ひでき
ep11_00666.10s,ep11,666.1,670.0,,human,ひできあの部屋怖い
ep11_00671.88s,ep11,671.88,674.16,,human,ち、確かめる
ep11_00803.58s,ep11,803.58,804.71,,human,そこ
ep11_01112.84s,ep11,1112.84,1113.94,,human,ひでき
ep11_01118.12s,ep11,1118.12,1120.74,,human,これで怖くない?
ep11_01157.66s,ep11,1157.66,1159.64,,human,いる
ep11_01259.14s,ep11,1259.14,1260.39,,human,大丈夫
ep11_01265.44s,ep11,1265.44,1267.53,,human,秀樹もう壊
ep11_01270.44s,ep11,1270.44,1271.72,,human,よかった
ep11_01305.44s,ep11,1305.44,1307.35,,human,ひげき
ep11_01311.44s,ep11,1311.44,1317.63,,human,ちぃっいできまだねる?
ep11_01317.44s,ep11,1317.44,1320.76,,human,おやすみ
ep11_01320.76s,ep11,1320.76,1325.33,,human,また聞こえる
ep12_00292.72s,ep12,292.72,294.69,,human,ネットゲーム?
ep12_00487.42s,ep12,487.42,490.07,,human,ひできと一緒にゲームできる?
ep12_00843.82s,ep12,843.82,846.82,,human,チチ
ep12_00849.86s,ep12,849.86,851.58,,human,わからない
ep12_00855.50s,ep12,855.5,858.4,,human,でも秀樹と一緒じゃなかった
ep12_00864.68s,ep12,864.68,865.82,,human,ちっ
ep12_00962.86s,ep12,962.86,964.86,,human,ちぃ
ep12_00976.86s,ep12,976.86,981.14,,human,魔法回復アイテム
ep12_00982.24s,ep12,982.24,985.1,,human,おかえり、秀樹
ep12_00985.10s,ep12,985.1,987.02,,human,今日もゲームスルー!
ep12_00986.76s,ep12,986.76,989.18,,human,今日はひできと一緒
ep12_01265.82s,ep12,1265.82,1268.99,,human,ちぃ?ちぃ?何も覚えてない?
ep12_01271.40s,ep12,1271.4,1272.4,,human,qui
ep12_01295.82s,ep12,1295.82,1300.31,,human,ひできもうゲームしないの
ep12_01305.72s,ep12,1305.72,1309.59,,human,チー一緒にゲームできなかった
ep12_01314.78s,ep12,1314.78,1316.18,,human,ちー
ep12_01317.18s,ep12,1317.18,1319.3,,human,ち
ep12_01319.30s,ep12,1319.3,1321.94,,human,ここにある別のゲーム
ep12_01434.96s,ep12,1434.96,1436.38,,human,ひでき、これなに?
ep13_00230.18s,ep13,230.18,233.18,,human,いらっきり
ep13_00354.56s,ep13,354.56,355.82,,human,こんにちは
ep13_00399.22s,ep13,399.22,401.31,,human,いっぱいの水
ep13_00404.22s,ep13,404.22,405.72,,human,海
ep13_00465.52s,ep13,465.52,467.77,,human,しょっぱい水
ep13_00475.52s,ep13,475.52,476.59,,human,チップ
ep13_00797.88s,ep13,797.88,798.88,,human,ちぃ
ep13_00874.88s,ep13,874.88,876.88,,human,かい!
ep13_00877.68s,ep13,877.68,880.15,,human,じゃあこれは?えっと
ep13_00926.42s,ep13,926.42,930.12,,human,ちっじゃああれは
ep13_00931.72s,ep13,931.72,933.49,,human,居歴あれは何?
ep13_01058.56s,ep13,1058.56,1060.27,,human,ひでき泳げない
ep13_01151.70s,ep13,1151.7,1154.79,,human,チームバッシャーする
ep13_01252.68s,ep13,1252.68,1258.26,,human,ひでき
ep13_01261.28s,ep13,1261.28,1265.0,,human,地壁
ep13_01268.68s,ep13,1268.68,1273.65,,human,ひでき、怒ってる?ちい、いけないことした?
ep13_01425.82s,ep13,1425.82,1433.7,,human,ひでき夏は暑い?
ep13_01446.32s,ep13,1446.32,1448.86,,human,夏は清水先生が来る?
ep14_00146.00s,ep14,146.0,149.26,,human,ひるき、元気ない、病気?
ep14_00445.50s,ep14,445.5,447.3,,human,おかえり
ep14_00454.82s,ep14,454.82,456.94,,human,置いとくといいって
ep14_00462.78s,ep14,462.78,464.81,,human,これが夏?
ep14_00532.76s,ep14,532.76,534.56,,human,こんばんは
ep14_00596.88s,ep14,596.88,599.98,,human,お月様、ひできが教えてくれた。
ep14_00686.74s,ep14,686.74,688.82,,human,秀樹、大丈夫?
ep14_00691.74s,ep14,691.74,692.74,,human,ちぃ
ep14_00798.70s,ep14,798.7,801.0,,human,ちん
ep14_00803.12s,ep14,803.12,804.89,,human,清水先生
ep14_00804.66s,ep14,804.66,806.27,,human,パタンってなった
ep14_00986.62s,ep14,986.62,988.57,,human,いってらっしゃい
ep15_00224.38s,ep15,224.38,228.94,,human,ひとつまって何?
ep15_00571.86s,ep15,571.86,573.05,,human,見てき
ep15_00597.42s,ep15,597.42,602.22,,human,いい?
ep15_00602.16s,ep15,602.16,607.4,,human,チー
ep16_00098.70s,ep16,98.7,103.19,,human,それ、ひできのおかず
ep16_00113.90s,ep16,113.9,115.9,,human,キー
ep16_00115.90s,ep16,115.9,120.0,,human,そろそろひでき帰ってくる
ep16_00129.90s,ep16,129.9,131.9,,human,ひでき帰ってきた
ep16_00183.80s,ep16,183.8,186.84,,human,ひできどうしたの?何か?
ep16_00209.58s,ep16,209.58,210.58,,human,最後まで終わります
ep16_00327.08s,ep16,327.08,328.45,,human,ちーん
ep16_00335.87s,ep16,337.4,339.16,,human,ご視聴ありがとうございました
ep16_00350.18s,ep16,350.18,351.45,,human,ひでき
ep16_00484.06s,ep16,484.06,485.26,,human,電気
ep16_00538.92s,ep16,538.92,540.87,,human,まだ元気ない
ep16_00550.04s,ep16,550.04,551.05,,human,ひでき
ep16_00555.54s,ep16,555.54,556.54,,human,ちっ
ep16_00567.76s,ep16,567.76,569.08,,human,行ってきます。
ep16_00589.96s,ep16,589.96,590.96,,human,チ Europa
ep16_00592.96s,ep16,592.96,597.17,,human,でも元気な愛秀樹を見ると地位こうなる。
ep16_00596.96s,ep16,596.96,599.54,,human,秀樹お財布を落とした
ep16_00603.22s,ep16,603.22,607.05,,human,だけどチーは何もしてあげられない
ep16_00607.00s,ep16,607.0,610.56,,human,地位秀樹に何かしてあげたい
ep16_00610.48s,ep16,610.48,612.98,,human,元気にしてあげたい
ep16_00636.42s,ep16,636.42,639.76,,human,これあげたらひでききっと喜ぶ
ep16_00646.44s,ep16,646.44,648.71,,human,秀樹これで元気
ep16_00665.28s,ep16,665.28,666.5,,human,どうして?
ep16_00677.56s,ep16,677.56,678.56,,human,チー
ep16_00718.15s,ep16,718.15,720.38,,human,ひでき
ep16_00760.00s,ep16,760.0,765.69,,human,こないだひできこうやってぐるぐるやったのを食べてた
ep16_00807.24s,ep16,807.24,810.33,,human,ちい、秀樹のためにバイトしたのに。
ep16_00810.10s,ep16,810.1,812.42,,human,秀樹お金いらないって
ep16_00812.32s,ep16,812.32,815.56,,human,ちい秀樹のために何ができる
ep16_00815.48s,ep16,815.48,817.94,,human,何をしたら秀樹は喜ぶ?
ep16_00835.32s,ep16,835.32,836.68,,human,ちぃー
ep16_00889.68s,ep16,889.68,891.68,,human,次は
ep16_00928.74s,ep16,928.74,930.82,,human,チッわかった
ep16_01045.66s,ep16,1045.66,1049.18,,human,チートスモモで管理人さんに教わって作った
ep16_01050.36s,ep16,1050.36,1053.34,,human,秀樹、バイト代は地位が使えって言った。
ep16_01057.58s,ep16,1057.58,1061.38,,human,ひでき最近元気なかった
ep16_01061.26s,ep16,1061.26,1065.51,,human,た 秀樹が元気じゃないとチーも元気なくなる
ep16_01065.22s,ep16,1065.22,1068.85,,human,だからちいひできに元気あげたい
ep16_01132.42s,ep16,1132.42,1136.74,,human,左手は猫の手
ep16_01136.64s,ep16,1136.64,1139.7,,human,アクア丁寧に救う
ep16_01139.64s,ep16,1139.64,1141.34,,human,いっぱい覚えた
ep16_01141.14s,ep16,1141.14,1144.48,,human,管理人さんもおいしいって言ってくれた
ep16_01150.28s,ep16,1150.28,1153.15,,human,ひでき笑った
ep16_01153.10s,ep16,1153.1,1155.5,,human,久しぶりに笑った
ep16_01155.40s,ep16,1155.4,1157.03,,human,うれしい
ep16_01163.18s,ep16,1163.18,1166.1,,human,ひできが笑うとチーム嬉しい
ep16_01173.38s,ep16,1173.38,1174.88,,human,ご視聴ありがとうございました
ep16_01228.38s,ep16,1228.38,1230.38,,human,ちぃ
ep16_01237.38s,ep16,1237.38,1238.38,,human,キー
ep17_00214.10s,ep17,214.1,216.36,,human,チッチッチッ
ep17_00248.88s,ep17,248.88,250.99,,human,ちい、サージする。
ep17_00267.62s,ep17,267.62,270.2,,human,ぷちーーーーー
ep17_00283.80s,ep17,283.8,285.85,,human,ひでき大丈夫?
ep17_00315.06s,ep17,315.06,318.88,,human,うっうっうっうっ
ep17_00610.00s,ep17,610.0,611.5,,human,チィ Stream
ep17_00615.70s,ep17,615.7,617.94,,human,てぃの服
ep17_00623.34s,ep17,623.34,626.13,,human,ちぃ、何か忘れてる?
ep17_00630.98s,ep17,630.98,632.54,,human,地
ep17_00775.42s,ep17,775.42,776.96,,human,秀樹、大丈夫?
ep17_00792.52s,ep17,792.52,794.42,,human,よかった
ep17_00804.82s,ep17,804.82,807.75,,human,クレタはもらった時に言う言葉
ep17_00857.60s,ep17,857.6,860.27,,human,ピー
ep17_01020.52s,ep17,1020.52,1022.48,,human,ちー
ep17_01063.22s,ep17,1063.22,1065.22,,human,adopting
ep17_01071.72s,ep17,1071.72,1072.7,,human,きぃー
ep17_01081.42s,ep17,1081.42,1082.42,,human,T
ep17_01089.52s,ep17,1089.52,1090.74,,human,ちぃー
ep17_01230.16s,ep17,1230.16,1232.56,,human,着
ep17_01453.62s,ep17,1453.62,1454.97,,human,じぇーん
ep18_00151.56s,ep18,151.56,152.68,,human,キィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィィ
ep18_00355.96s,ep18,355.96,358.74,,human,いってらっしゃい
ep18_00401.78s,ep18,401.78,403.1,,human,本当に?
ep18_00410.84s,ep18,410.84,412.36,,human,本当に
ep18_00417.10s,ep18,417.1,420.85,,human,ひできが病気って思ったら
ep18_00420.88s,ep18,420.88,423.68,,human,胸がキュッて痛くなった
ep18_00580.04s,ep18,580.04,586.66,,human,あの本の続き
ep18_00847.32s,ep18,847.32,848.57,,human,ひいいいい
ep18_00855.82s,ep18,855.82,864.56,,human,チーの知らないとこ
ep18_00864.32s,ep18,864.32,870.32,,human,ひできの部屋じゃない
ep18_00870.20s,ep18,870.2,879.25,,human,ちーどうしてここにいる
ep18_00882.32s,ep18,882.32,884.58,,human,に、誘拐?
ep18_00889.16s,ep18,889.16,892.1,,human,さらわれた
ep18_00891.90s,ep18,891.9,893.87,,human,また、それおかず?
ep18_00907.00s,ep18,907.0,910.13,,human,ね。ちぃ、わからないこといっぱい。
ep18_00913.96s,ep18,913.96,918.2,,human,そう、秀樹は、秀樹は地位を拾ってくれた。
